be was/were been
bear bore born
become became become
begin began begun
break broke broken
bring brought brought
build built built
burn burnt/burned burnt/burned
buy bought bought
catch caught caught
choose chose chosen
come came come
cost cost cost
cut cut cut
deal dealt dealt
do did done
draw drew drawn
dream dreamt/dreamed dreamt/dreamed
drink drank drunk
drive drove driven
eat ate eaten
fall fell fallen
feed fed fed
feel felt felt
fight fought fought
find found found
fly flew flown
forget forgot forgotten
freeze froze frozen
get got got
go went gone/been
give gave given
grow grew grown
have had had
hear heard heard
hide hid hidden
hold held held
hurt hurt hurt
keep kept kept
know knew known
lay laid laid
lead led led
learn learnt/learned learnt/learned
leave left left
lend lent lent
