arise;arose;arisen
awake;awoke;awoken
be;was/were;been
bear;bore;born
beat;beat;beaten
become;became;become
beget;begot;begotten
begin;began;begun
bend;bent;bent
beseech;besought;besought
bet;bet;bet
bid;bid;bid
bide;bode;bidden
bind;bound;bound
bite;bit;bitten
bleed;bled;bled
blow;blew;blown
break;broke;broken
breed;bred;bred
bring;brought;brought
build;built;built
burn;burnt/burned;burnt/burned
buy;bought;bought
can;could;-
cast;cast;cast
catch;caught;caught
choose;chose;chosen
cleave;clove;cloven
cling;clung;clung
clothe;clad;clad
come;came;come
cost;cost;cost
creep;crept;crept
crow;crew;crowed
cut;cut;cut
deal;dealt;dealt
dig;dug;dug
dive;dove;dived
do;did;done
draw;drew;drawn
dream;dreamt/dreamed;dreamt/dreamed
drink;drank;drunk
drive;drove;driven
eat;ate;eaten
fall;fell;fallen
feed;fed;fed
feel;felt;felt
fight;fought;fought
find;found;found
fit;fit;fit
flee;fled;fled
fling;flung;flung
fly;flew;flown
forbid;forbade;forbidden
forget;forgot;forgotten
forgive;forgave;forgiven
forsake;forsook;forsaken
freeze;froze;frozen
get;got;got
give;gave;given
go;went;gone/been
grow;grew;grown
hang;hung;hung
have;had;had
hear;heard;heard
heave;hove;hoven
hew;hew;hewn
hide;hid;hidden
hit;hit;hit
hold;held;held
hurt;hurt;hurt
keep;kept;kept
kneel;knelt;knelt
knit;knit;knit
know;knew;known
lade;laded;laden
lay;laid;laid
lead;led;led
lean;lent;lent
leap;leapt;leapt
learn;learnt/learned;learnt/learned
leave;left;left
lend;lent;lent
let;let;let
lie;lay;lain
light;lit;lit
lose;lost;lost
make;made;made
may;might;-
mean;meant;meant
meet;met;met
mow;mowed;mown
pay;paid;paid
plead;pled;pled
proofread;proofread;proofread
prove;proved;proven
put;put;put
queath;quoth;quoth
read;read;read
reave;reft;reft
rend;rent;rent
rid;rid;rid
ride;rode;ridden
ring;rang;rung
rise;rose;risen
run;ran;run
say;said;said
see;saw;seen
seek;sought;sought
sell;sold;sold
send;sent;sent
set;set;set
sew;sewed;sewn
shake;shook;shaken
shall;should;-
shave;shove;shaven
shear;shore;shorn
shed;shed;shed
shine;shone;shone
shoot;shot;shot
show;showed;shown
shrink;shrank;shrunk
shrive;shrove;shriven
shut;shut;shut
sing;sang;sung
sink;sank;sunk
sit;sat;sat
slay;slew;slain
sleep;slept;slept
slide;slid;slid
sling;slang;slung
slink;slunk;slunk
slit;slit;slit
smite;smote;smitten
sneak;snuck;snuck
sow;sew;sown
speak;spoke;spoken
speed;sped;sped
spell;spelt/spelled;spelt/spelled
spend;spent;spent
spill;spilt;spilt
spin;span;spun
spit;spat;spit
spoil;spoilt;spoilt
spread;spread;spread
spring;sprang;sprung
stand;stood;stood
steal;stole;stolen
stick;stuck;stuck
sting;stang;stung
stink;stank;stunk
strew;strew;strewn
stride;strode;stridden
strike;struck;stricken
string;strang;strung
strive;strove;striven
swear;swore;sworn
sweep;swept;swept
swell;swelled;swollen
swim;swam;swum
swing;swung;swung
take;took;taken
teach;taught;taught
tear;tore;torn
tell;told;told
think;thought;thought
thrive;throve;thriven
throw;threw;thrown
tread;trod;trod
understand;understood;understood
wake;woke;woken
wear;wore;worn
weave;wove;woven
wed;wed;wed
weep;wept;wept
wet;wet;wet
will;would;-
win;won;won
wind;wound;wound
wring;wrung;wrung
write;wrote;written
